Seznam cisel a souvisejicich matematickych hodnot
 i      i*i    i*i*i     exp(i)    sin(i)  cos(i)
-------------------------------------------------
-5       25     -125      0.007  0.958924 +0.2837
-4       16      -64      0.018  0.756802 -0.6536
-3        9      -27      0.050 -0.141120 -0.9900
-2        4       -8      0.135 -0.909297 -0.4161
-1        1       -1      0.368 -0.841471 +0.5403
 0        0       +0      1.000  0.000000 +1.0000
 1        1       +1      2.718  0.841471 +0.5403
 2        4       +8      7.389  0.909297 -0.4161
 3        9      +27     20.086  0.141120 -0.9900
 4       16      +64     54.598 -0.756802 -0.6536
 5       25     +125    148.413 -0.958924 +0.2837
 6       36     +216    403.429 -0.279415 +0.9602
 7       49     +343   1096.633  0.656987 +0.7539
 8       64     +512   2980.958  0.989358 -0.1455
 9       81     +729   8103.084  0.412118 -0.9111
 10     100    +1000  22026.465 -0.544021 -0.8391
